date;str_date;PCR_TA_echas;PCR_TA_postivas;casos_confirmados_PCR_TA;Tasa_contagios_x_cienMil;defunciones;total_casos;total_defunciones;Cierre_ibex;variacion_ibex
23/02/2020;20200223;1318;0.0607;111;0.24;0;114;0;8723.2;-0.1176
01/03/2020;20200301;8876;0.114;885;1.88;24;999;24;8375.6;-0.0398
08/03/2020;20200308;35906;0.242;8192;17.42;445;9191;469;6629.6;-0.2085
15/03/2020;20200315;90061;0.2979;23898;50.82;2386;33089;2855;6443.3;-0.0281
22/03/2020;20200322;150474;0.3568;52106;110.8;5586;85195;8441;6777.9;0.0519
29/03/2020;20200329;162421;0.2981;49837;105.98;5762;135032;14203;6581.6;-0.029
05/04/2020;20200405;160378;0.2069;34464;73.29;4715;169496;18918;7070.6;0.0743
12/04/2020;20200412;195189;0.1129;31555;67.1;3551;200210;22469;6875.8;-0.0276
19/04/2020;20200419;252298;0.066;29289;62.28;2370;229499;24839;6613.9;-0.0381
26/04/2020;20200426;235347;0.0375;18802;39.98;1541;248301;26380;6922.3;0.0466
03/05/2020;20200503;248225;0.0348;19842;42.19;1061;268143;27441;6783.1;-0.0201
10/05/2020;20200510;253951;0.0156;10045;21.36;607;278188;28048;6474.9;-0.0454
17/05/2020;20200517;253253;0.0175;3764;8;446;235400;28494;6697.5;0.0344
24/05/2020;20200524;246515;0.0163;3290;6.99;331;239638;28825;7096.5;0.0596
31/05/2020;20200600;238135;0.0089;2688;5.72;235;241717;29060;7872.6;0.1094
07/06/2020;20200607;228185;0.0104;2086;4.43;147;244109;29207;7292.7;-0.0737
14/06/2020;20200614;218355;0.0107;2029;4.31;111;246504;29318;7414.2;0.0167
21/06/2020;20200621;217317;0.0115;2271;4.83;59;248970;29377;7178.4;-0.0318
28/06/2020;20200628;220340;0.0081;2602;5.54;41;251789;29418;7403.5;0.0314
05/07/2020;20200705;227629;0.0148;4582;9.75;20;255953;29438;7321.1;-0.0111
12/07/2020;20200712;262094;0.0242;9296;19.77;16;264836;29454;7440.4;0.0163
19/07/2020;20200719;305377;0.0398;15082;32.07;28;278782;29482;7294.7;-0.0196
26/07/2020;20200726;339375;0.0474;19634;41.75;58;297054;29540;6877.4;-0.0572
02/08/2020;20200802;391215;0.0661;26833;57.06;115;322980;29655;6950.5;0.0106
09/08/2020;20200809;463367;0.0614;37721;80.21;169;359082;29824;7154.3;0.0293
16/08/2020;20200816;542363;0.0797;49390;105.02;260;405436;30084;6982.1;-0.0241
23/08/2020;20200823;623526;0.0854;58363;124.11;327;462858;30411;7133;0.0216
30/08/2020;20200830;665977;0.0896;61469;130.71;444;525549;30855;6989.7;-0.0201
06/09/2020;20200906;650348;0.1035;69974;148.79;598;593730;31453;6943.2;-0.0067
13/09/2020;20200913;737636;0.0999;78130;166.14;729;671468;32182;6929.8;-0.0019
20/09/2020;20200920;780061;0.098;70329;149.55;776;748266;32958;6628.3;-0.0435
27/09/2020;20200927;750084;0.0979;61410;130.59;819;813412;33777;6754.5;0.019
04/10/2020;20201004;760488;0.111;75070;159.64;842;888968;34619;6950.9;0.0291
11/10/2020;20201011;786744;0.122;88571;188.34;834;974449;35453;6849.7;-0.0146
18/10/2020;20201018;1063770;0.137;130391;277.27;1086;1098320;36539;6893.4;0.0064
25/10/2020;20201025;1205303;0.1332;139038;295.66;1347;1240697;37886;6452.2;-0.064
01/11/2020;20201101;1125002;0.1347;126703;269.43;1811;1381218;39697;6870.4;0.0648
08/11/2020;20201108;1122905;0.1219;106480;226.43;1830;1496864;41527;7783.7;0.1329
15/11/2020;20201115;988429;0.1076;78214;166.32;1761;1582616;43288;7977.9;0.0249
22/11/2020;20201122;904249;0.0867;56572;120.3;1549;1655853;46066;8190.7;0.0267
29/11/2020;20201129;861393;0.0762;48705;103.57;1237;1704558;47303;8322.9;0.0161
06/12/2020;20201206;767926;0.0795;49333;104.91;1024;1753891;48327;8063.1;-0.0312
13/12/2020;20201213;962584;0.0837;64088;136.28;811;1819249;49260;8037.4;-0.0032
